Service_Score,Online_Rating,Wait_Time,Cleanliness,Delivery_Ratio,Status
7.050507027677126,2.3115854287776947,12,1.4641532006587752,0.9140493390546454,0
5.392705593165253,3.275370351660949,51,7.043928606406956,0.7905199238856271,0
8.429456566323067,4.12787996519045,43,9.439646122062637,0.23635032960292857,1
1.2830174886366832,3.887856595554609,26,5.784214296145212,0.3541868954534746,0
8.27244967028363,3.714611471258373,52,6.765857341935073,0.5001695210760415,1
6.0905567764947754,4.714078584567169,36,8.588632015508402,0.39469355375704185,1
3.6786024883354957,4.468444966110682,57,7.508572144641167,0.9181703690927479,0
1.4202614845625794,4.699118542182383,48,2.7965060685072283,0.4236410589241455,0
9.915646595237165,1.1681957794535935,51,1.355301558848153,0.2783133534725344,0
1.0614315973928967,2.575274845686958,44,9.812367323231946,0.46201160871880975,0
7.928137253709458,3.3339320443149862,12,6.044941880545643,0.6076088082566314,0
7.720903908948697,2.8474581941068906,40,7.993766683307351,0.5305853944876163,0
4.396950427014687,3.7174053273163996,54,4.802508012897793,0.8615479255829982,0
5.447327070168783,4.949663129342688,26,4.450478564804141,0.31001197954526793,1
9.360535528860213,1.6141784785694737,6,2.668036927551344,0.9685835596708637,1
4.559086399112383,2.332782241060558,14,8.704103351544774,0.7677409138361448,1
9.76560667146064,4.812500918022746,12,8.463576355440733,0.3082206857068962,1
5.719732438377161,2.707373135123997,43,1.9525143578204815,0.6967161314897544,0
1.8425178396797732,2.668316334459866,46,5.265332403245263,0.9975206034918168,0
8.31977571503916,4.484842573504546,35,6.6203178582555156,0.9325122557955355,1
2.9051810703042715,1.1668980497093204,40,9.305550850284634,0.6804623575903909,0
5.989112061316169,1.4780809927547862,24,3.9425740882297404,0.17568555387477391,0
3.6304220436324544,1.5067656799552789,38,5.809894086336701,0.2587066505963591,0
8.345281239884693,4.958036005082611,36,4.6660836377595185,0.37903410403374116,1
8.452383095861302,1.3575472084185676,51,2.847877745900987,0.6354240410633683,0
2.9941963455661993,2.609891378066837,41,5.031970388415654,0.5170057922815312,0
6.803512314429804,4.564523927742919,16,1.5941948159093,0.3930963986739655,0
1.8566345974017737,2.536949682643368,20,8.94640384528755,0.30930871765297396,0
4.704969149586446,1.095213924752788,14,8.390284651964244,0.14963748690810752,0
1.8717873513640044,2.677591652695861,42,4.481665455880221,0.7460907704727058,0
2.296098990169162,1.3351937208130225,54,4.825500546818128,0.26205101366239725,0
2.9097655778400133,3.364182720350126,50,5.570721735438518,0.10105618052462417,0
5.2899053901027395,2.870412205050976,30,8.073614315702727,0.2523104445783264,0
1.6985245294001339,2.4254923347306545,55,9.874278412259502,0.10570489319309762,0
3.1153940337208117,4.39683829625381,27,2.487159505656533,0.7999425312306886,0
1.0589770241304768,4.641418263438987,43,8.878514704209985,0.2523918058421105,0
9.087797683651598,2.9814353025303113,30,3.15082782279029,0.14408265776565632,0
5.970109841898969,2.790180159678668,52,8.94912547516904,0.27749926639327827,0
2.5079196494287315,4.670022087250997,38,2.5818777066463796,0.9268772943220988,0
9.359903651461623,4.514056975252813,43,5.989687637607492,0.6124605403149216,1
5.878789289361299,4.386694118038424,9,7.430311629078953,0.8193458327018481,1
1.375826781648159,3.5778782757901957,56,7.457944266595483,0.9124795410060171,0
5.723891559658116,3.1273244583949893,52,5.9248370297096935,0.8830510075504017,0
6.761282864628924,4.859454807924869,6,9.956161289270211,0.7555539162272898,1
8.205923472817695,2.16890726185813,7,6.717046854814032,0.3997022065432799,1
8.514269665215494,2.2242309445773762,32,8.319222904173273,0.5603500879688643,0
3.273690071371443,1.4057247586537,51,2.9982386721509067,0.33425672576977794,0
9.714461614977555,2.6129520226395346,12,1.8908948526951328,0.29076029541220616,0
5.19614321238858,3.073524202631901,6,7.257880357506352,0.5241275875742545,1
3.376820528693848,1.4157186047515924,42,5.951970416461056,0.1738409846591411,0
5.944405760344647,2.3381563382612427,36,2.730500012995002,0.858926280533468,0
4.396004085208571,2.6897263023511364,50,2.5121630186725024,0.5090934991651159,0
2.8335551318487493,4.957533977543413,28,9.394515518796243,0.8957967056882066,1
9.239162490818606,4.908381767206087,5,1.2551606806452171,0.11252486871271206,1
9.452596805967806,1.4627248148988063,10,4.277981200989575,0.16077999153807965,1
8.537442333177292,2.646560959100412,23,1.0611425566438275,0.4504036624103239,0
4.895104016719964,4.142683562685001,18,3.57034709822261,0.627231028942391,0
7.445016567300402,3.4570484318756742,7,8.503037796646975,0.6520143420916077,1
8.66209591604607,3.8219816506249367,43,3.420911461127175,0.9070693798575097,1
1.7114201678020087,4.431346510987469,27,3.6737768033225398,0.8246744284267157,0
4.68962682527849,2.4245262107686023,23,4.386873552948666,0.7016574453014643,0
6.774130906961173,3.8012551597368733,45,7.409091405635286,0.5319480337429221,1
9.78806189995174,3.5589401770932683,44,2.966305861900338,0.4896981859294607,1
7.347595233221715,1.2629495057289257,6,5.114311440890917,0.5532413224730655,0
6.729580924403128,3.658991367016135,53,1.2543503278861627,0.8122060472677225,0
2.8484803977998054,1.2039535861010533,18,4.708967434538901,0.2905702675822659,0
3.637586016405013,1.918950495133131,28,1.5289111274324023,0.8839662132155239,0
2.4400906662835284,1.4413132869417393,7,3.915027550740373,0.3739809273328608,0
3.735398834052546,1.9271629540456705,21,1.9118555104892745,0.2987424323635389,0
7.466557418000439,4.80310931313249,47,9.766568307049386,0.8372812697601876,1
9.621819990451772,4.442767601434841,30,1.1359186512771897,0.684030623071914,0
1.142039983178511,2.1713447894897517,31,6.4321460670669754,0.7430633730364282,0
3.8133501197463633,4.813912158952476,30,1.708294864677368,0.8379912238850722,0
1.44021418278435,1.4853766403565247,54,4.391667721346686,0.43188021339504956,0
8.87293803207998,1.7221530300967105,48,8.132031668637838,0.5089006980612866,0
7.243821095345202,2.8184752386923977,29,3.4291717168829425,0.5340304157106803,0
8.439026715740342,1.219065226972571,38,8.623915558666287,0.44473518600398987,0
9.265133338376522,2.6436652802184324,48,5.174691508260753,0.19305551610746707,0
2.3780660931801756,3.2797203029894635,17,2.320135992357961,0.13240135323503732,0
5.230257586794082,4.11470258290092,22,3.111510061345946,0.2978958142601096,0
5.916417718334689,4.059910709519258,47,5.055160949711215,0.99056470362385,0
5.646276174760146,4.9974771501525295,46,8.844726139003015,0.0630730041851506,1
7.483758019633897,3.1159320586188715,59,2.2171096628665516,0.6611101635716071,0
8.402726341061378,4.326546194656364,22,2.7590588673935335,0.5510113877564442,1
3.117398854850853,3.893044541683534,29,5.611797277922322,0.12307258780991714,0
1.949860081444438,4.075239375306062,20,8.2519972775548,0.6034320505410135,0
6.524920376461799,2.1733228104151032,15,8.072051341421925,0.20512126422530297,0
3.192906736271499,3.2651684100726355,14,7.025940156307507,0.6442396422712545,0
8.442518153235834,4.233203405908773,28,2.494559730692677,0.7414347613431814,0
5.1897629355902275,3.18088925576603,17,6.7527803460226234,0.9396403793114434,0
7.219268907835838,4.420225025738088,14,8.21433075994144,0.6093889998455481,1
4.193227128635284,3.0163392040544372,39,6.300791863010057,0.8805680451165041,0
1.9311969749427187,2.007317409203886,34,6.453738641880023,0.1467434833627862,0
3.6899145873571855,1.4460033431064399,22,9.029603655557354,0.8664390087339966,0
2.468879888222844,2.0308843259481724,15,1.3902567291816914,0.16143673853028506,0
3.0954173015507314,3.47208090288743,10,1.951962543183713,0.2735117979565448,0
5.899756714520522,2.8416012613096,38,8.494434330571664,0.8079828797832149,0
4.19420095066072,3.962229473204437,17,3.8703979922296465,0.6160784553634033,0
7.701825267962085,2.5076403014678714,39,6.238229295798848,0.5391762258863754,0
6.833429383573578,4.081455036362872,28,4.262065253538073,0.8033084611653886,0
7.930338674891325,2.2838475709310364,52,4.120769030249984,0.27287529815950684,0
8.112985807708032,4.905601084212613,33,7.5590566831760375,0.926729887845416,1
5.739277051368982,2.1950789340535417,29,3.4597996369137682,0.273051367145139,0
3.3066336713344926,4.45524796343018,43,5.6253057376240205,0.239794987722854,0
9.95828392547737,2.719249621695491,46,8.239989884643327,0.37739735680333775,0
1.9596103289364937,1.979761175734954,43,9.83348171324412,0.7449117163918937,0
4.734471557452707,4.831467606581603,33,1.392795771951618,0.41236949030122927,0
2.391581198342178,2.5666397887968952,40,5.165179941296444,0.7350427047051311,0
5.563715648298808,3.8791907409031317,26,6.078466707997111,0.8884870227495091,0
8.26188952455129,1.6637969860333128,34,2.681739222701133,0.9942912280275077,0
5.272863064926853,4.856723826883819,30,6.410857689558563,0.8617941397687359,1
4.907276201981542,1.5546004998333771,51,7.065474476605852,0.853394645891945,0
3.9853313534857575,4.501657189243666,42,8.800602252644177,0.42171324639380836,0
1.6907354552391272,1.0590212326377597,23,8.9769575633136,0.2778807635663888,0
7.518028914543783,2.267489310481369,34,7.929080358009247,0.8694382665224769,0
